age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
36,fit,mostly vegetarian,socially,never,graduated from college/university,NA,62,-1,other,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism but not too serious about it,f,cancer but it doesn&rsquo;t matter,NA,english (fluently),single
19,thin,NA,NA,never,NA,hispanic / latin,63,-1,NA,NA,straight,NA,NA,f,NA,NA,"english (fluently), spanish (fluently)",single
35,average,NA,socially,never,graduated from college/university,white,66,-1,other,NA,straight,likes dogs and likes cats,NA,f,sagittarius and it&rsquo;s fun to think about,no,english,single
27,fit,NA,socially,never,graduated from college/university,white,66,-1,computer / hardware / software,NA,straight,likes cats,atheism,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), french (okay), c++ (okay)",seeing someone
25,NA,NA,socially,NA,graduated from college/university,white,65,-1,other,NA,gay,NA,other and laughing about it,f,leo and it&rsquo;s fun to think about,yes,english,available
29,fit,mostly anything,socially,never,working on masters program,NA,67,-1,NA,NA,straight,NA,atheism and laughing about it,m,NA,no,english,single
23,average,anything,socially,never,graduated from college/university,NA,64,-1,computer / hardware / software,NA,straight,has cats,agnosticism and laughing about it,f,virgo but it doesn&rsquo;t matter,NA,"english (fluently), chinese (fluently), c++ (poorly)",single
37,thin,NA,socially,never,graduated from college/university,asian,67,50000,other,doesn&rsquo;t want kids,gay,likes dogs and likes cats,catholicism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,english,single
39,fit,NA,socially,NA,working on ph.d program,white,74,150000,medicine / health,NA,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single
29,athletic,NA,socially,never,NA,white,66,-1,medicine / health,NA,straight,has dogs and has cats,NA,f,cancer,no,english,single
22,athletic,NA,socially,never,graduated from college/university,white,63,-1,NA,NA,straight,likes dogs and likes cats,judaism but not too serious about it,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
28,fit,NA,NA,never,graduated from college/university,NA,71,-1,computer / hardware / software,NA,straight,NA,NA,m,NA,no,english,single
29,thin,mostly other,socially,sometimes,graduated from masters program,white,62,-1,computer / hardware / software,NA,straight,likes dogs,NA,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), hebrew (fluently), german (okay), japanese (poorly)",single
42,curvy,mostly anything,rarely,never,graduated from college/university,white,70,-1,hospitality / travel,doesn&rsquo;t have kids,straight,has dogs and likes cats,NA,f,aquarius and it&rsquo;s fun to think about,no,english,single
43,average,strictly other,socially,sometimes,graduated from college/university,"black, native american, white",75,20000,artistic / musical / writer,NA,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,trying to quit,english (fluently),single
30,curvy,mostly other,socially,never,working on masters program,white,64,-1,student,doesn&rsquo;t have kids,straight,likes dogs and likes cats,NA,f,NA,no,english (fluently),single
44,average,mostly anything,rarely,never,graduated from masters program,white,69,60000,education / academia,NA,gay,likes dogs,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,english (fluently),single
32,fit,mostly anything,socially,never,graduated from college/university,white,69,-1,sales / marketing / biz dev,NA,straight,likes dogs,other,m,libra,no,"english (fluently), spanish (okay)",single
23,curvy,NA,socially,sometimes,working on college/university,white,67,-1,other,doesn&rsquo;t want kids,bisexual,has dogs and has cats,other but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english (fluently), german (fluently)",available
65,average,NA,not at all,never,graduated from college/university,white,65,-1,other,NA,gay,likes dogs,buddhism but not too serious about it,f,leo and it&rsquo;s fun to think about,no,english,single
23,average,anything,often,NA,graduated from college/university,"hispanic / latin, white",66,-1,science / tech / engineering,NA,gay,NA,agnosticism,f,taurus,no,english,single
24,fit,mostly anything,socially,never,working on college/university,white,73,-1,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,judaism but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), russian (fluently)",single
42,average,mostly anything,not at all,never,graduated from two-year college,white,67,-1,artistic / musical / writer,NA,straight,likes cats,atheism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
32,athletic,NA,not at all,never,dropped out of space camp,NA,68,-1,artistic / musical / writer,NA,straight,likes dogs and likes cats,NA,m,sagittarius,no,english (poorly),seeing someone
53,fit,NA,socially,sometimes,working on space camp,other,68,-1,construction / craftsmanship,doesn&rsquo;t have kids,straight,NA,agnosticism and laughing about it,m,cancer and it&rsquo;s fun to think about,trying to quit,english (fluently),single
23,athletic,anything,socially,sometimes,graduated from college/university,hispanic / latin,68,-1,NA,NA,straight,likes dogs and likes cats,NA,m,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (fluently), italian (poorly)",single
29,NA,NA,often,never,graduated from law school,white,65,-1,law / legal services,NA,straight,likes dogs and has cats,atheism and somewhat serious about it,f,NA,no,english,single
57,a little extra,NA,socially,sometimes,graduated from college/university,white,66,-1,computer / hardware / software,doesn&rsquo;t want kids,straight,has cats,agnosticism but not too serious about it,m,taurus and it&rsquo;s fun to think about,no,english,single
38,NA,NA,not at all,never,graduated from two-year college,NA,48,-1,NA,NA,straight,NA,christianity,f,sagittarius and it&rsquo;s fun to think about,no,english,single
29,athletic,strictly anything,socially,never,working on masters program,white,75,100000,military,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism,m,leo and it&rsquo;s fun to think about,no,"english (fluently), portuguese (poorly)",available
37,fit,anything,NA,NA,college/university,asian,64,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs,NA,f,NA,NA,"english (fluently), japanese (fluently), french (poorly)",single
25,average,NA,socially,never,graduated from masters program,black,65,40000,education / academia,has kids,straight,likes dogs,catholicism,f,leo and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly), spanish (poorly)",single
29,curvy,NA,often,never,graduated from college/university,white,64,-1,other,NA,straight,likes dogs,NA,f,NA,NA,english,single
36,athletic,mostly anything,socially,never,graduated from masters program,asian,65,-1,medicine / health,NA,straight,NA,NA,f,scorpio,no,"english (fluently), chinese (poorly)",single
27,fit,strictly other,socially,sometimes,graduated from college/university,asian,69,-1,science / tech / engineering,NA,straight,NA,NA,m,NA,NA,english,single
20,average,strictly anything,very often,never,working on college/university,white,70,-1,artistic / musical / writer,doesn&rsquo;t want kids,bisexual,likes dogs and likes cats,other but not too serious about it,f,libra and it&rsquo;s fun to think about,sometimes,"english (fluently), slovenian (fluently), german (okay), french (poorly), japanese (poorly)",single
25,average,NA,socially,never,graduated from college/university,white,66,20000,law / legal services,NA,straight,likes dogs and likes cats,christianity and somewhat serious about it,f,scorpio but it doesn&rsquo;t matter,no,"english, spanish (okay)",single
26,fit,mostly vegetarian,rarely,never,dropped out of college/university,"hispanic / latin, white",67,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,has dogs,other,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), sanskrit (poorly)",single
41,average,mostly vegetarian,not at all,never,graduated from masters program,white,68,-1,artistic / musical / writer,has a kid,straight,NA,judaism,f,scorpio but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)",single
26,athletic,mostly anything,socially,often,working on college/university,"asian, black",73,-1,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (poorly), chinese (poorly), korean (poorly), japanese (poorly)",single
49,athletic,mostly vegan,socially,never,working on masters program,white,66,-1,artistic / musical / writer,NA,straight,NA,buddhism,f,aquarius and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), portuguese (poorly), spanish (poorly), italian (poorly)",single
20,athletic,strictly vegetarian,socially,never,working on college/university,white,74,-1,student,NA,gay,NA,atheism,m,scorpio but it doesn&rsquo;t matter,no,"english (fluently), german (okay)",single
23,skinny,strictly anything,often,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,NA,gay,likes dogs and has cats,judaism,m,capricorn but it doesn&rsquo;t matter,no,english,single
41,average,mostly anything,rarely,never,graduated from ph.d program,black,72,-1,law / legal services,"has kids, and might want more",straight,likes dogs and likes cats,christianity and very serious about it,m,NA,no,"english (fluently), hindi (poorly)",single
41,average,NA,socially,NA,NA,white,72,-1,NA,doesn&rsquo;t have kids,straight,has dogs and likes cats,NA,m,sagittarius,sometimes,"english (fluently), spanish (okay), portuguese (okay), french (poorly), japanese (poorly)",single
20,skinny,strictly anything,socially,sometimes,working on space camp,"hispanic / latin, white",62,-1,student,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",bisexual,likes dogs and has cats,buddhism,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), other (poorly)",single
29,curvy,NA,often,never,graduated from college/university,NA,63,-1,law / legal services,NA,straight,likes dogs and likes cats,NA,f,NA,NA,english,single
29,fit,mostly vegetarian,socially,sometimes,dropped out of ph.d program,NA,65,20000,other,NA,bisexual,NA,judaism but not too serious about it,f,NA,sometimes,english,single
25,fit,mostly anything,socially,NA,graduated from college/university,white,60,-1,other,doesn&rsquo;t have kids,straight,likes dogs,NA,f,scorpio but it doesn&rsquo;t matter,no,english (fluently),single
27,thin,mostly vegan,socially,sometimes,dropped out of college/university,white,72,1000000,other,NA,straight,likes dogs and likes cats,buddhism but not too serious about it,m,pisces and it&rsquo;s fun to think about,when drinking,english (fluently),single
45,average,mostly anything,rarely,never,graduated from college/university,"asian, white",68,-1,medicine / health,NA,gay,NA,other but not too serious about it,m,leo and it&rsquo;s fun to think about,no,"english, korean (poorly), italian (poorly)",single
31,fit,NA,NA,never,NA,"indian, other",71,-1,NA,NA,straight,NA,NA,m,NA,NA,english,single
18,full figured,NA,rarely,NA,working on college/university,white,69,20000,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,catholicism but not too serious about it,f,virgo and it&rsquo;s fun to think about,sometimes,english,single
29,NA,mostly anything,socially,never,graduated from college/university,NA,70,100000,science / tech / engineering,NA,straight,NA,christianity,m,NA,no,english,available
29,athletic,NA,socially,never,NA,white,68,-1,NA,NA,straight,has dogs,NA,m,NA,yes,"english, french (fluently)",single
23,overweight,NA,often,often,working on two-year college,white,72,-1,other,NA,straight,NA,atheism,m,gemini but it doesn&rsquo;t matter,yes,english (fluently),single
39,NA,NA,rarely,never,NA,white,71,-1,executive / management,NA,straight,NA,atheism and very serious about it,m,NA,no,"english (fluently), french (okay), c++ (okay), german (poorly)",seeing someone
31,athletic,anything,socially,NA,graduated from college/university,white,68,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,NA,m,aries but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
24,thin,NA,socially,never,graduated from college/university,white,62,-1,other,NA,straight,has dogs,judaism and somewhat serious about it,f,aquarius,no,"english (fluently), hebrew (fluently), french (poorly)",single
48,average,mostly other,socially,never,graduated from two-year college,"hispanic / latin, other",63,-1,sales / marketing / biz dev,NA,straight,NA,other,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
22,average,strictly anything,socially,sometimes,graduated from college/university,white,67,-1,computer / hardware / software,"doesn&rsquo;t have kids, but wants them",bisexual,likes dogs and likes cats,NA,m,NA,when drinking,english,available
27,skinny,mostly anything,often,never,graduated from college/university,asian,65,-1,executive / management,NA,straight,likes dogs and dislikes cats,NA,f,NA,no,english,single
34,full figured,mostly anything,socially,NA,graduated from college/university,white,63,-1,computer / hardware / software,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and dislikes cats,agnosticism and laughing about it,f,libra and it&rsquo;s fun to think about,no,english (fluently),single
20,a little extra,NA,socially,NA,graduated from high school,white,73,20000,other,NA,straight,has dogs and has cats,NA,m,gemini,no,english,single
19,used up,vegetarian,socially,sometimes,NA,NA,65,-1,other,NA,bisexual,likes dogs and likes cats,NA,f,NA,trying to quit,english (poorly),single
27,average,anything,often,sometimes,graduated from college/university,"native american, white",67,-1,other,NA,straight,likes dogs and likes cats,NA,m,scorpio,trying to quit,english,seeing someone
56,athletic,anything,rarely,NA,college/university,"native american, white",69,-1,artistic / musical / writer,doesn&rsquo;t want kids,gay,likes dogs and likes cats,agnosticism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
32,average,NA,socially,never,college/university,white,71,-1,NA,NA,straight,NA,NA,m,virgo,sometimes,english,single
29,athletic,strictly anything,socially,never,working on space camp,"white, other",73,80000,political / government,NA,straight,NA,other and laughing about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), polish (fluently), spanish (okay)",single
38,curvy,mostly vegetarian,NA,never,graduated from college/university,white,68,-1,banking / financial / real estate,wants kids,straight,has dogs and likes cats,buddhism and laughing about it,f,cancer and it&rsquo;s fun to think about,NA,"english (fluently), spanish (poorly)",single
27,fit,NA,socially,never,graduated from college/university,black,66,-1,NA,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,christianity but not too serious about it,f,taurus and it&rsquo;s fun to think about,no,english,single
33,athletic,anything,socially,NA,graduated from college/university,white,70,-1,science / tech / engineering,NA,straight,likes dogs and likes cats,atheism,m,NA,no,"english (fluently), spanish (okay)",single
29,thin,strictly anything,socially,sometimes,graduated from college/university,asian,61,-1,NA,doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism and very serious about it,f,scorpio and it&rsquo;s fun to think about,yes,"english (fluently), french (okay)",single
49,fit,NA,socially,sometimes,graduated from masters program,white,69,-1,medicine / health,NA,bisexual,has dogs,agnosticism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
22,athletic,mostly anything,socially,never,NA,white,65,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,NA,NA,m,NA,no,english,single
21,curvy,NA,socially,never,working on college/university,white,65,-1,student,NA,bisexual,NA,atheism but not too serious about it,f,NA,no,english,single
42,fit,mostly anything,socially,never,working on ph.d program,NA,65,-1,education / academia,NA,straight,NA,judaism,f,pisces,no,"english, swahili (okay), hebrew (okay), sign language (okay), spanish (okay)",single
25,curvy,other,often,NA,working on college/university,hispanic / latin,64,20000,student,NA,straight,has dogs,catholicism and laughing about it,f,sagittarius,NA,"english (fluently), spanish (fluently), italian (okay), irish (fluently)",single
24,athletic,mostly anything,socially,never,graduated from college/university,indian,68,-1,banking / financial / real estate,NA,straight,NA,NA,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), hindi (fluently), french (okay)",single
32,athletic,mostly anything,often,never,graduated from masters program,white,65,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",bisexual,NA,NA,f,NA,no,english,single
27,NA,mostly anything,often,sometimes,working on college/university,native american,75,40000,hospitality / travel,doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,when drinking,english (fluently),single
20,average,NA,not at all,NA,NA,"native american, hispanic / latin",64,-1,NA,NA,straight,NA,NA,f,aquarius and it&rsquo;s fun to think about,sometimes,english,single
25,NA,NA,NA,NA,graduated from masters program,"middle eastern, white",72,-1,NA,NA,straight,NA,judaism,m,NA,NA,"english, arabic, hebrew, french",single
23,skinny,NA,socially,sometimes,graduated from high school,hispanic / latin,71,-1,other,NA,straight,likes dogs and likes cats,catholicism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
43,athletic,strictly anything,NA,NA,graduated from law school,white,68,-1,law / legal services,has a kid,straight,likes dogs and has cats,buddhism and laughing about it,m,NA,no,english (okay),available
53,thin,NA,socially,never,graduated from college/university,white,62,-1,medicine / health,NA,straight,likes dogs and likes cats,other,f,aquarius,no,english (fluently),single
28,athletic,anything,socially,sometimes,graduated from college/university,white,72,100000,science / tech / engineering,NA,straight,NA,agnosticism,m,taurus but it doesn&rsquo;t matter,trying to quit,"english, spanish (poorly)",single
19,skinny,strictly vegan,socially,NA,working on high school,white,67,-1,other,NA,gay,likes dogs and likes cats,other and laughing about it,m,libra and it&rsquo;s fun to think about,NA,"english (fluently), french (fluently)",single
37,fit,NA,not at all,never,graduated from high school,black,73,-1,other,has kids,straight,NA,christianity and very serious about it,m,scorpio,no,"english, english",single
35,fit,NA,socially,never,graduated from college/university,asian,65,-1,entertainment / media,"doesn&rsquo;t have kids, but wants them",straight,has dogs,NA,f,scorpio,no,"english (fluently), spanish (poorly)",single
21,thin,NA,not at all,never,working on college/university,asian,64,-1,student,NA,bisexual,likes dogs and likes cats,other and laughing about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (fluently), c++ (fluently)",single
26,athletic,mostly anything,often,sometimes,working on college/university,white,66,40000,clerical / administrative,"doesn&rsquo;t have kids, but might want them",bisexual,has dogs,NA,f,NA,sometimes,english,available
26,fit,vegetarian,socially,NA,graduated from college/university,NA,72,1000000,education / academia,doesn&rsquo;t have kids,straight,likes dogs and likes cats,NA,m,NA,sometimes,"english (fluently), spanish (poorly)",single
24,fit,mostly anything,socially,never,graduated from college/university,asian,72,-1,executive / management,doesn&rsquo;t have kids,straight,likes dogs and likes cats,NA,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently)",single
23,athletic,NA,socially,never,graduated from college/university,"asian, middle eastern, black, native american, hispanic / latin, white",73,1000000,student,doesn&rsquo;t want kids,straight,likes dogs and likes cats,buddhism and very serious about it,m,gemini and it matters a lot,trying to quit,"english (okay), romanian (okay), russian (okay)",single
25,curvy,anything,socially,never,working on two-year college,"asian, pacific islander",61,-1,clerical / administrative,has a kid,straight,NA,catholicism,f,cancer,when drinking,english,single
36,fit,mostly vegetarian,socially,never,graduated from college/university,"pacific islander, other",65,60000,other,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",gay,likes dogs and dislikes cats,agnosticism and laughing about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), french (okay), spanish (poorly), tagalog (poorly), japanese (poorly)",single
53,fit,NA,socially,sometimes,graduated from masters program,NA,65,40000,medicine / health,has kids,straight,likes dogs and dislikes cats,other and somewhat serious about it,f,scorpio and it&rsquo;s fun to think about,no,english,available
40,average,strictly anything,often,NA,graduated from college/university,"hispanic / latin, white",68,-1,medicine / health,NA,gay,likes dogs and has cats,atheism but not too serious about it,m,gemini but it doesn&rsquo;t matter,NA,english,single
31,fit,strictly anything,socially,never,NA,NA,67,-1,NA,NA,straight,has cats,NA,m,aquarius but it doesn&rsquo;t matter,when drinking,"english, spanish",single
35,skinny,anything,socially,never,graduated from college/university,asian,63,-1,banking / financial / real estate,NA,straight,NA,catholicism,f,NA,no,english,single
25,athletic,mostly anything,socially,never,graduated from masters program,asian,70,100000,computer / hardware / software,NA,straight,NA,atheism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), khmer (fluently), french (okay), italian (poorly)",single
40,average,anything,socially,never,working on college/university,hispanic / latin,66,20000,other,NA,straight,likes dogs and likes cats,christianity and somewhat serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,"english, spanish (fluently), english (okay)",single
25,thin,NA,NA,NA,graduated from college/university,white,71,-1,artistic / musical / writer,NA,straight,NA,judaism but not too serious about it,m,NA,NA,english,single
24,fit,NA,often,NA,working on college/university,NA,71,-1,student,NA,straight,likes dogs and likes cats,other,m,scorpio,no,english,single
45,fit,strictly anything,not at all,never,graduated from masters program,white,72,-1,entertainment / media,NA,straight,likes dogs and likes cats,atheism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,"english, japanese (okay), french (poorly)",single
23,average,mostly anything,rarely,never,working on college/university,asian,67,-1,student,doesn&rsquo;t have kids,straight,likes dogs,NA,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), chinese (fluently)",single
47,athletic,NA,socially,sometimes,graduated from masters program,white,64,80000,computer / hardware / software,doesn&rsquo;t want kids,straight,has cats,other and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),available
25,average,NA,rarely,NA,graduated from college/university,middle eastern,69,-1,NA,NA,straight,likes dogs,buddhism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), farsi (fluently)",single
32,thin,mostly anything,NA,NA,graduated from masters program,NA,66,-1,education / academia,doesn&rsquo;t have kids,straight,likes dogs,NA,f,taurus,NA,english,single
31,average,NA,socially,never,graduated from college/university,white,75,-1,sales / marketing / biz dev,NA,straight,has dogs,NA,m,NA,no,english,single
26,athletic,strictly anything,rarely,never,graduated from college/university,indian,74,-1,other,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,NA,m,NA,no,"english, spanish (poorly)",single
28,average,NA,socially,never,graduated from college/university,asian,65,-1,computer / hardware / software,NA,straight,likes dogs and likes cats,catholicism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), c++ (okay)",single
60,average,mostly anything,socially,never,graduated from masters program,white,68,-1,retired,doesn&rsquo;t have kids,straight,likes dogs and has cats,agnosticism and very serious about it,f,NA,no,english,single
28,athletic,NA,socially,sometimes,graduated from masters program,white,68,20000,education / academia,doesn&rsquo;t have kids,straight,NA,judaism but not too serious about it,m,aries,no,english,single
43,athletic,strictly vegetarian,socially,never,graduated from masters program,white,73,-1,hospitality / travel,NA,straight,NA,agnosticism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,no,english (fluently),single
29,fit,strictly anything,socially,NA,graduated from college/university,white,74,-1,political / government,NA,straight,likes dogs and likes cats,NA,m,scorpio,no,"english, spanish (poorly)",single
38,fit,NA,NA,never,NA,asian,63,-1,NA,NA,straight,NA,NA,f,NA,NA,english,single
38,thin,mostly anything,socially,never,graduated from space camp,white,66,-1,sales / marketing / biz dev,NA,straight,has dogs and likes cats,NA,f,libra but it doesn&rsquo;t matter,no,english,single
19,thin,mostly anything,socially,NA,working on college/university,white,66,-1,student,NA,straight,likes dogs and likes cats,NA,f,taurus but it doesn&rsquo;t matter,sometimes,"english (fluently), russian (fluently)",available
23,curvy,mostly other,rarely,never,working on college/university,"white, other",62,40000,military,NA,straight,has dogs and dislikes cats,christianity and somewhat serious about it,f,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), portuguese (fluently), farsi (okay), arabic (okay)",single
27,jacked,mostly anything,socially,never,graduated from college/university,"hispanic / latin, white",70,-1,NA,doesn&rsquo;t have kids,straight,likes dogs,NA,m,cancer,no,"english (fluently), spanish (okay)",single
30,average,mostly anything,socially,NA,graduated from college/university,asian,67,-1,executive / management,NA,straight,NA,NA,m,scorpio but it doesn&rsquo;t matter,NA,english (fluently),single
24,fit,mostly anything,socially,never,working on space camp,asian,67,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,has dogs and has cats,buddhism and somewhat serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), vietnamese (fluently), c++ (fluently)",single
43,athletic,NA,socially,never,graduated from college/university,other,68,-1,other,has kids,straight,NA,atheism and laughing about it,m,virgo and it&rsquo;s fun to think about,sometimes,"english (fluently), german (poorly), japanese (poorly), other (fluently), spanish (fluently)",available
38,curvy,mostly anything,socially,sometimes,graduated from masters program,white,64,20000,artistic / musical / writer,NA,straight,has dogs and has cats,NA,f,sagittarius but it doesn&rsquo;t matter,when drinking,english (fluently),single
22,curvy,NA,rarely,never,graduated from high school,black,65,-1,NA,"doesn&rsquo;t have kids, but wants them",straight,NA,christianity and very serious about it,f,virgo but it doesn&rsquo;t matter,no,english,single
58,fit,mostly anything,socially,never,graduated from college/university,white,74,100000,artistic / musical / writer,NA,straight,likes dogs,buddhism and somewhat serious about it,m,aquarius,no,"english (fluently), french (okay), russian (okay), portuguese (poorly)",single
51,NA,NA,socially,NA,NA,NA,68,-1,education / academia,has a kid,straight,has dogs,judaism,f,pisces,no,"english, spanish, french",single
24,fit,mostly other,socially,NA,working on ph.d program,other,74,-1,education / academia,NA,bisexual,likes dogs and likes cats,other but not too serious about it,m,virgo but it doesn&rsquo;t matter,NA,"english (fluently), spanish (okay), arabic (poorly), french (poorly), italian (poorly)",single
26,fit,mostly vegetarian,socially,never,graduated from college/university,"hispanic / latin, white",66,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,f,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
26,athletic,NA,often,never,graduated from two-year college,black,74,80000,transportation,NA,straight,NA,NA,m,NA,sometimes,"english, french",single
32,fit,anything,socially,never,graduated from college/university,asian,64,-1,medicine / health,has kids,straight,NA,other but not too serious about it,f,pisces,NA,"english, tagalog",single
28,fit,strictly anything,socially,sometimes,working on college/university,white,70,40000,artistic / musical / writer,NA,straight,likes dogs and likes cats,atheism and very serious about it,m,virgo but it doesn&rsquo;t matter,yes,english (fluently),single
31,fit,mostly vegetarian,socially,never,working on masters program,"hispanic / latin, white, other",72,-1,NA,doesn&rsquo;t have kids,straight,has dogs and has cats,agnosticism but not too serious about it,m,NA,no,"english, spanish (okay), swedish (okay)",married
29,athletic,mostly anything,socially,NA,graduated from space camp,asian,69,-1,other,"has a kid, but doesn&rsquo;t want more",straight,NA,other and laughing about it,f,aries and it&rsquo;s fun to think about,sometimes,english,single
32,athletic,NA,socially,never,graduated from college/university,hispanic / latin,67,-1,other,NA,straight,has dogs,NA,m,gemini,no,"english, spanish (fluently), russian (okay), polish (poorly), japanese (poorly)",single
34,athletic,NA,socially,never,graduated from college/university,hispanic / latin,69,-1,artistic / musical / writer,NA,straight,NA,catholicism,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
25,NA,NA,socially,never,graduated from college/university,black,61,-1,other,doesn&rsquo;t have kids,straight,NA,NA,f,virgo and it&rsquo;s fun to think about,no,english,single
28,skinny,NA,socially,never,graduated from college/university,indian,71,-1,science / tech / engineering,NA,straight,likes dogs,NA,m,leo but it doesn&rsquo;t matter,no,english,single
40,average,strictly anything,not at all,never,NA,"white, other",71,-1,artistic / musical / writer,NA,straight,likes dogs and likes cats,christianity,m,taurus,sometimes,"english, portuguese (okay), spanish (poorly)",single
28,NA,NA,often,sometimes,college/university,white,77,-1,hospitality / travel,NA,gay,NA,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,yes,english,single
28,average,NA,rarely,sometimes,working on two-year college,white,72,20000,student,has a kid,straight,NA,NA,m,scorpio and it&rsquo;s fun to think about,yes,english,seeing someone
28,athletic,mostly anything,socially,never,graduated from law school,indian,62,-1,law / legal services,NA,straight,likes dogs,hinduism,f,libra,no,"english, bengali",single
29,average,strictly vegan,socially,never,working on college/university,"hispanic / latin, white",65,-1,education / academia,NA,straight,has dogs and dislikes cats,catholicism but not too serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), sign language (fluently), spanish (fluently)",single
24,average,NA,socially,never,working on college/university,hispanic / latin,68,-1,artistic / musical / writer,NA,gay,likes dogs,christianity and laughing about it,m,taurus but it doesn&rsquo;t matter,no,english (fluently),single
27,average,strictly anything,not at all,never,graduated from masters program,white,76,80000,sales / marketing / biz dev,NA,straight,likes dogs and likes cats,other and laughing about it,m,taurus but it doesn&rsquo;t matter,yes,english (fluently),single
39,average,NA,socially,NA,NA,NA,68,-1,NA,NA,straight,NA,NA,m,NA,NA,english,unknown
27,fit,NA,often,never,graduated from college/university,white,69,-1,NA,NA,straight,likes dogs and dislikes cats,NA,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), swahili (okay), french (okay)",single
31,a little extra,NA,socially,never,college/university,white,74,-1,computer / hardware / software,NA,gay,likes cats,agnosticism,m,scorpio but it doesn&rsquo;t matter,no,english,single
